date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:41	212252/212252	---M--	200	added ('OK')	image/jpeg	etag:%22dd89dbdf5ce8d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/12/Thumbnails03462021104602.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/12/Thumbnails03462021104602.jpg	(from http://ueb.vnu.edu.vn/)
18:50:45	566757/566757	---M--	200	added ('OK')	image/png	etag:%22af1f5d9737e8d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/12/Thumbnails03192021061909.png	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/12/Thumbnails03192021061909.png	(from http://ueb.vnu.edu.vn/)
18:51:27	847254/847254	---M--	200	added ('OK')	image/png	etag:%22e9d93f3748ead71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/12/Thumbnails06232021092311.png	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/12/Thumbnails06232021092311.png	(from http://ueb.vnu.edu.vn/)
18:51:32	315286/315286	---M--	200	added ('OK')	image/jpeg	etag:%22238c8a5b56e7d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/12/Thumbnails02262021032651.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/12/Thumbnails02262021032651.jpg	(from http://ueb.vnu.edu.vn/)
18:52:12	281739/281739	---M--	200	added ('OK')	image/jpeg	etag:%2251294b9353d1d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/11/Thumbnails04112021031131.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/11/Thumbnails04112021031131.jpg	(from http://ueb.vnu.edu.vn/)
18:52:21	591728/591728	---M--	200	added ('OK')	image/jpeg	etag:%22591025131ad7d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/11/Thumbnails11352021113502.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/11/Thumbnails11352021113502.jpg	(from http://ueb.vnu.edu.vn/)
18:52:29	352958/352958	---M--	200	added ('OK')	image/jpeg	etag:%22c6cb243e9448d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/5/Thumbnails14392021023916.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/5/Thumbnails14392021023916.jpg	(from http://ueb.vnu.edu.vn/)
18:52:30	107877/107877	---M--	200	added ('OK')	image/jpeg	etag:%2250aedb68f25d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/3/Thumbnails30502021095014.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/3/Thumbnails30502021095014.jpg	(from http://ueb.vnu.edu.vn/)
18:52:46	100152/100152	---M--	200	added ('OK')	image/jpeg	etag:%2270be921f9614d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/3/Thumbnails09412021104143.jpg	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/3/Thumbnails09412021104143.jpg	(from http://ueb.vnu.edu.vn/)
18:52:51	931590/931590	---M--	200	added ('OK')	image/png	etag:%22eedd3ad3d7e5d71:0%22	http://ueb.edu.vn//Uploads/image/News/Thumbnails/2021/11/Thumbnails30482021054835.png	C:/Users/Bang%20Tran/Desktop/httpueb.vnu.edu.vn/ueb/ueb.edu.vn/Uploads/image/News/Thumbnails/2021/11/Thumbnails30482021054835.png	(from http://ueb.vnu.edu.vn/)
